"","bin","focus","position","dominance_pattern"
"1",0,0.248124039998666,0.253304678632692,"downward heuristic"
"2",1,0.301972706217261,0.301101227705656,"bullying"
"3",2,0.33698041355044,0.273089828309817,"downward heuristic"
"4",3,0.248413712850622,0.235846839224557,"downward heuristic"
"5",4,0.324007139202423,0.403044999239311,"bullying"
"6",5,0.318807280941857,0.401935857395452,"bullying"
"7",6,0.352963223117761,0.420937726744399,"bullying"
"8",7,0.268855770063321,0.216905898627811,"downward heuristic"
"9",8,0.181242418615192,0.235031517859315,"bullying"
"10",9,0.34502748939323,0.212794569516521,"downward heuristic"
"11",10,0.273761610703123,0.216169890698144,"downward heuristic"
"12",11,0.163838700828199,0.141626723269674,"downward heuristic"
"13",12,0.18683788477263,0.235308336555384,"bullying"
