"","bin","focus","position","dominance_pattern"
"1",1,0.451849969730416,0.277574539893771,"downward heuristic"
"2",2,0.299201856228666,0.256882533098417,"downward heuristic"
"3",3,0.3496862551404,0.289174608368119,"downward heuristic"
"4",4,0.311613000454022,0.269243526940484,"downward heuristic"
"5",5,0.46438531954125,0.310299197264128,"downward heuristic"
"6",6,0.307635837816376,0.267199895568062,"downward heuristic"
"7",7,0.41565921095991,0.26084660562284,"downward heuristic"
"8",8,0.323483605459373,0.255163834271035,"downward heuristic"
"9",9,0.316743262960092,0.252197170533748,"downward heuristic"
"10",10,0.248124039998666,0.253304678632692,"downward heuristic"
