"","actor","subject","bin","n.aggXbin"
"1","BBB","BOB",11,35
"2","BBB","BOB",15,5
"3","BBB","BOB",16,1
"4","BBB","BOB",17,2
"5","BBB","BOB",18,2
"6","BBB","GGG",11,7
"7","BBB","GGG",14,8
"8","BBB","GGG",15,2
"9","BBB","GGG",16,2
"10","BBB","GGG",17,4
"11","BBB","GGG",18,4
"12","BBB","GGG",19,5
"13","BBB","GGG",20,6
"14","BBB","GGG",21,4
"15","BBB","GGG",22,6
"16","BBB","GGO",11,9
"17","BBB","GGO",14,1
"18","BBB","GGO",15,1
"19","BBB","GGO",16,1
"20","BBB","GGO",17,9
"21","BBB","GGO",18,13
"22","BBB","GGO",19,6
"23","BBB","GGO",20,4
"24","BBB","GGO",21,10
"25","BBB","GGO",22,12
"26","BBB","GOO",11,4
"27","BBB","GOO",14,1
"28","BBB","GOO",17,1
"29","BBB","GOO",19,1
"30","BBB","GOP",11,12
"31","BBB","GOP",14,1
"32","BBB","GOP",15,1
"33","BBB","GOP",17,13
"34","BBB","GOP",18,12
"35","BBB","GOP",19,3
"36","BBB","GOP",20,8
"37","BBB","GOP",21,17
"38","BBB","GOP",22,14
"39","BBB","GPG",11,8
"40","BBB","GPG",18,6
"41","BBB","GPG",19,11
"42","BBB","GPG",20,6
"43","BBB","GPG",21,7
"44","BBB","GPG",22,9
"45","BBB","OBB",11,19
"46","BBB","OBB",14,3
"47","BBB","OBB",15,1
"48","BBB","OBB",17,1
"49","BBB","OBB",19,2
"50","BBB","OBB",21,1
"51","BBB","OGO",11,10
"52","BBB","OGO",18,1
"53","BBB","OGO",19,2
"54","BBB","OOO",11,13
"55","BBB","OOO",14,1
"56","BBB","OOO",15,1
"57","BBB","OOO",16,16
"58","BBB","OOO",17,17
"59","BBB","OOO",18,8
"60","BBB","OOO",19,13
"61","BBB","OOO",20,9
"62","BBB","OOO",21,11
"63","BBB","OOO",22,14
"64","BBB","OOP",11,19
"65","BBB","OOP",15,5
"66","BBB","OOP",16,5
"67","BBB","OOP",17,6
"68","BBB","OOP",18,8
"69","BBB","OOP",19,7
"70","BBB","OOP",20,8
"71","BBB","OOP",21,5
"72","BBB","OOP",22,7
"73","BBB","OPP",11,44
"74","BBB","OPP",14,1
"75","BBB","OPP",15,1
"76","BBB","OPP",22,29
"77","BBB","PBB",11,11
"78","BBB","PBB",14,1
"79","BBB","PBB",15,3
"80","BBB","PBB",16,6
"81","BBB","PBB",17,13
"82","BBB","PBB",18,9
"83","BBB","PBB",19,13
"84","BBB","PBB",20,5
"85","BBB","PBB",21,7
"86","BBB","PBB",22,6
"87","BBB","PBO",11,4
"88","BBB","PBO",14,1
"89","BBB","PBO",15,6
"90","BBB","PGG",11,21
"91","BBB","PGG",14,2
"92","BBB","PGG",15,3
"93","BBB","PGG",16,7
"94","BBB","PGG",17,8
"95","BBB","PGG",18,5
"96","BBB","PGG",19,14
"97","BBB","PGG",20,6
"98","BBB","PGG",21,12
"99","BBB","PGG",22,11
"100","BBB","POO",11,12
