"","actor","subject","bin","n.aggXbin"
"1","BBB","BBP",1,8
"2","BBB","BBP",2,3
"3","BBB","BBP",3,6
"4","BBB","BBP",5,3
"5","BBB","BBP",6,4
"6","BBB","BOB",1,6
"7","BBB","BOB",2,6
"8","BBB","BOB",3,6
"9","BBB","BOB",4,19
"10","BBB","BOB",5,12
"11","BBB","BOB",6,8
"12","BBB","GGG",1,9
"13","BBB","GGG",2,5
"14","BBB","GGG",3,4
"15","BBB","GGG",4,2
"16","BBB","GGG",6,4
"17","BBB","GGO",1,9
"18","BBB","GGO",2,1
"19","BBB","GGO",3,5
"20","BBB","GGO",6,4
"21","BBB","GOO",1,7
"22","BBB","GOO",2,8
"23","BBB","GOO",3,2
"24","BBB","GOO",4,1
"25","BBB","GOO",5,3
"26","BBB","GOO",6,2
"27","BBB","GOP",1,7
"28","BBB","GOP",2,2
"29","BBB","GOP",3,7
"30","BBB","GOP",4,4
"31","BBB","GOP",5,4
"32","BBB","GOP",6,5
"33","BBB","GPG",1,2
"34","BBB","GPG",2,1
"35","BBB","GPG",4,4
"36","BBB","GPG",5,1
"37","BBB","GPG",6,4
"38","BBB","OBB",1,18
"39","BBB","OBB",2,7
"40","BBB","OBB",3,18
"41","BBB","OBB",4,11
"42","BBB","OBB",5,7
"43","BBB","OBB",6,12
"44","BBB","OBG",1,4
"45","BBB","OBG",2,2
"46","BBB","OBG",3,1
"47","BBB","OBG",4,1
"48","BBB","OBG",5,3
"49","BBB","OBG",6,3
"50","BBB","OGO",1,5
"51","BBB","OGO",2,1
"52","BBB","OGO",3,3
"53","BBB","OGO",4,2
"54","BBB","OGO",5,2
"55","BBB","OGO",6,8
"56","BBB","OOO",1,24
"57","BBB","OOO",2,5
"58","BBB","OOO",3,6
"59","BBB","OOO",4,3
"60","BBB","OOO",5,4
"61","BBB","OOO",6,7
"62","BBB","OOP",1,14
"63","BBB","OOP",2,2
"64","BBB","OOP",4,5
"65","BBB","OOP",5,4
"66","BBB","OOP",6,3
"67","BBB","OPP",2,2
"68","BBB","OPP",3,2
"69","BBB","PBB",1,6
"70","BBB","PBB",2,2
"71","BBB","PBB",3,3
