"","actor","subject","bin","n.aggXbin"
"1","BBB","BRB",3,1
"2","BBB","BRR",2,1
"3","BBB","GGB",4,1
"4","BBB","GGG",2,4
"5","BBB","GGG",3,3
"6","BBB","GGG",4,6
"7","BBB","GRR",1,1
"8","BBB","GRR",2,1
"9","BBB","GRR",3,2
"10","BBB","GRR",4,2
"11","BBB","RBG",3,1
"12","BBB","RRG",3,3
"13","BBB","RRR",3,2
"14","BBG","BBB",1,9
"15","BBG","BBB",2,2
"16","BBG","BBB",3,5
"17","BBG","BBB",4,4
"18","BBG","BBR",1,2
"19","BBG","BGB",1,1
"20","BBG","BGB",3,1
"21","BBG","BGB",4,1
"22","BBG","BGG",1,1
"23","BBG","BGG",2,2
"24","BBG","BGG",3,1
"25","BBG","BGG",4,3
"26","BBG","BRB",1,2
"27","BBG","BRB",2,8
"28","BBG","BRB",3,17
"29","BBG","BRB",4,117
"30","BBG","BRR",1,1
"31","BBG","BRR",2,1
"32","BBG","BRR",4,1
"33","BBG","GBB",1,2
"34","BBG","GBB",3,1
"35","BBG","GBG",1,7
"36","BBG","GBG",2,3
"37","BBG","GBG",3,9
"38","BBG","GBG",4,17
"39","BBG","GGB",1,18
"40","BBG","GGB",2,10
"41","BBG","GGB",3,27
"42","BBG","GGB",4,2
"43","BBG","GGG",1,30
"44","BBG","GGG",2,28
"45","BBG","GGG",3,42
"46","BBG","GGG",4,20
"47","BBG","GGR",1,2
"48","BBG","GGR",2,1
"49","BBG","GGR",4,2
"50","BBG","GRG",1,1
"51","BBG","GRG",2,3
"52","BBG","GRG",3,10
"53","BBG","GRG",4,13
"54","BBG","GRR",1,3
"55","BBG","GRR",2,1
"56","BBG","GRR",3,1
"57","BBG","RBB",2,2
"58","BBG","RBB",3,1
"59","BBG","RBB",4,4
"60","BBG","RBG",3,4
"61","BBG","RBG",4,5
"62","BBG","RBR",1,2
"63","BBG","RBR",3,1
"64","BBG","RBR",4,3
"65","BBG","RGG",4,1
"66","BBG","RGR",1,2
"67","BBG","RGR",3,1
"68","BBG","RGR",4,6
"69","BBG","RRG",1,3
"70","BBG","RRG",3,3
"71","BBG","RRG",4,2
"72","BBG","RRR",1,1
"73","BBG","RRR",2,2
"74","BBG","RRR",3,7
"75","BBG","RRR",4,6
"76","BBR","BBB",2,1
"77","BGB","BBB",3,2
"78","BGB","BBR",2,4
"79","BGB","GRR",2,1
"80","BGB","RBR",4,1
"81","BGB","RRG",3,1
"82","BGG","BBB",1,1
"83","BGG","BBB",2,1
"84","BGG","BBB",3,3
"85","BGG","BBB",4,2
"86","BGG","BBR",2,1
"87","BGG","BBR",3,1
"88","BGG","BGB",2,1
"89","BGG","BRB",1,1
"90","BGG","BRB",4,8
"91","BGG","GGG",1,1
"92","BGG","GRG",3,1
"93","BGG","RBB",1,1
"94","BGG","RBG",1,1
"95","BGG","RBG",3,2
"96","BGG","RGG",3,3
"97","BGG","RGG",4,1
"98","BGG","RGR",3,1
"99","BGG","RRG",4,1
"100","BGG","RRR",3,2
"101","BRB","BBB",1,1
"102","BRB","BBB",2,6
"103","BRB","BBB",3,13
"104","BRB","BBB",4,16
"105","BRB","BBG",4,1
"106","BRB","BBR",2,2
"107","BRB","BBR",3,1
"108","BRB","BGG",2,1
"109","BRB","BRR",3,3
"110","BRB","BRR",4,2
"111","BRB","GGB",1,1
