"","group","bin","actor","subject","n.aggXbin"
"1",1,1,"BBB","BOB",1
"2",1,7,"BBB","BOB",1
"3",1,9,"BBB","BOB",9
"4",1,10,"BBB","BOB",3
"5",1,12,"BBB","BOB",3
"6",1,14,"BBB","BOB",1
"7",1,15,"BBB","BOB",47
"8",1,16,"BBB","BOB",28
"9",1,17,"BBB","BOB",114
"10",1,18,"BBB","BOB",28
"11",1,19,"BBB","BOB",55
"12",1,20,"BBB","BOB",66
"13",1,21,"BBB","BOB",43
"14",1,22,"BBB","BOB",42
"15",1,25,"BBB","BOB",1
"16",1,1,"BBB","GGP",91
"17",1,2,"BBB","GGP",143
"18",1,3,"BBB","GGP",79
"19",1,4,"BBB","GGP",79
"20",1,5,"BBB","GGP",49
"21",1,6,"BBB","GGP",81
"22",1,7,"BBB","GGP",61
"23",1,8,"BBB","GGP",63
"24",1,9,"BBB","GGP",71
"25",1,10,"BBB","GGP",37
"26",1,11,"BBB","GGP",36
"27",1,12,"BBB","GGP",42
"28",1,13,"BBB","GGP",63
"29",1,14,"BBB","GGP",46
"30",1,15,"BBB","GGP",24
"31",1,16,"BBB","GGP",47
"32",1,17,"BBB","GGP",31
"33",1,18,"BBB","GGP",83
"34",1,19,"BBB","GGP",102
"35",1,20,"BBB","GGP",108
"36",1,21,"BBB","GGP",60
"37",1,22,"BBB","GGP",28
"38",1,25,"BBB","GGP",35
"39",1,2,"BBB","GPO",1
"40",1,5,"BBB","GPO",1
"41",1,6,"BBB","GPO",1
"42",1,7,"BBB","GPO",1
"43",1,9,"BBB","GPO",1
"44",1,10,"BBB","GPO",1
"45",1,11,"BBB","GPO",1
"46",1,12,"BBB","GPO",1
"47",1,14,"BBB","GPO",1
"48",1,17,"BBB","GPO",95
"49",1,18,"BBB","GPO",78
"50",1,19,"BBB","GPO",29
"51",1,20,"BBB","GPO",73
"52",1,21,"BBB","GPO",35
"53",1,22,"BBB","GPO",19
"54",1,1,"BBB","OOO",34
"55",1,2,"BBB","OOO",9
"56",1,3,"BBB","OOO",12
"57",1,4,"BBB","OOO",13
"58",1,5,"BBB","OOO",11
"59",1,6,"BBB","OOO",16
"60",1,9,"BBB","OOO",15
"61",1,10,"BBB","OOO",12
"62",1,11,"BBB","OOO",21
"63",1,12,"BBB","OOO",4
"64",1,13,"BBB","OOO",14
"65",1,14,"BBB","OOO",12
"66",1,15,"BBB","OOO",10
"67",1,16,"BBB","OOO",18
"68",1,17,"BBB","OOO",12
"69",1,18,"BBB","OOO",19
"70",1,19,"BBB","OOO",16
"71",1,20,"BBB","OOO",9
"72",1,21,"BBB","OOO",12
"73",1,22,"BBB","OOO",25
"74",1,3,"BBB","OPO",117
"75",1,4,"BBB","OPO",119
"76",1,5,"BBB","OPO",84
"77",1,6,"BBB","OPO",315
"78",1,7,"BBB","OPO",77
"79",1,8,"BBB","OPO",77
"80",1,9,"BBB","OPO",57
"81",1,10,"BBB","OPO",45
"82",1,11,"BBB","OPO",41
"83",1,12,"BBB","OPO",28
"84",1,13,"BBB","OPO",19
"85",1,14,"BBB","OPO",26
"86",1,15,"BBB","OPO",96
"87",1,16,"BBB","OPO",265
"88",1,17,"BBB","OPO",98
"89",1,18,"BBB","OPO",275
"90",1,19,"BBB","OPO",189
"91",1,20,"BBB","OPO",171
"92",1,21,"BBB","OPO",131
"93",1,22,"BBB","OPO",58
"94",1,25,"BBB","OPO",1
"95",1,1,"BBB","OPP",35
"96",1,2,"BBB","OPP",18
"97",1,3,"BBB","OPP",14
"98",1,4,"BBB","OPP",9
"99",1,5,"BBB","OPP",5
"100",1,6,"BBB","OPP",24
"101",1,7,"BBB","OPP",11
"102",1,8,"BBB","OPP",10
"103",1,9,"BBB","OPP",16
"104",1,10,"BBB","OPP",8
"105",1,11,"BBB","OPP",6
"106",1,12,"BBB","OPP",18
"107",1,13,"BBB","OPP",14
"108",1,14,"BBB","OPP",14
"109",1,15,"BBB","OPP",16
"110",1,16,"BBB","OPP",8
"111",1,17,"BBB","OPP",23
"112",1,18,"BBB","OPP",15
"113",1,21,"BBB","OPP",21
"114",1,22,"BBB","OPP",4
"115",1,25,"BBB","OPP",17
"116",1,26,"BBB","OPP",5
"117",1,1,"BBB","PBO",1
"118",1,5,"BBB","PBO",102
"119",1,6,"BBB","PBO",100
"120",1,7,"BBB","PBO",41
"121",1,8,"BBB","PBO",44
"122",1,9,"BBB","PBO",16
"123",1,10,"BBB","PBO",20
"124",1,11,"BBB","PBO",22
"125",1,12,"BBB","PBO",13
"126",1,13,"BBB","PBO",19
"127",1,14,"BBB","PBO",9
"128",1,15,"BBB","PBO",56
"129",1,16,"BBB","PBO",86
"130",1,17,"BBB","PBO",222
"131",1,18,"BBB","PBO",120
"132",1,19,"BBB","PBO",38
"133",1,20,"BBB","PBO",88
"134",1,21,"BBB","PBO",54
"135",1,22,"BBB","PBO",26
"136",1,1,"BBB","PGG",27
"137",1,2,"BBB","PGG",18
"138",1,3,"BBB","PGG",10
"139",1,4,"BBB","PGG",16
"140",1,5,"BBB","PGG",3
"141",1,6,"BBB","PGG",11
"142",1,7,"BBB","PGG",6
"143",1,8,"BBB","PGG",18
"144",1,9,"BBB","PGG",14
"145",1,10,"BBB","PGG",4
"146",1,13,"BBB","PGG",8
"147",1,14,"BBB","PGG",10
"148",1,15,"BBB","PGG",28
"149",1,16,"BBB","PGG",19
"150",1,17,"BBB","PGG",12
