"","bin","focal","rank","n.initiated","n.subjects","n.received","n.actors","total","balance","ratio.initiated","ratio.received","perturbation","birds","total.initiated","total.received","total.all","prop","prop.birds.directed","prop.birds.received"
"1",11,"BBB",1,330,18,1,1,331,0.996978851963746,0.996978851963746,0.00302114803625378,"pre",20,2875,2875,5750,0.000347826086956522,0.9,0.05
"2",10,"BBB",1,253,19,0,0,253,1,1,0,"pre",20,1983,1983,3966,0,0.95,0
"3",19,"OPP",1,110,16,4,2,114,0.964912280701754,0.964912280701754,0.0350877192982456,"reintroduction2",20,1615,1615,3230,0.00247678018575851,0.8,0.1
"4",14,"GPG",1,382,17,34,5,416,0.918269230769231,0.918269230769231,0.0817307692307692,"reintroduction1",20,2928,2928,5856,0.0116120218579235,0.85,0.25
"5",15,"GPG",1,266,16,11,4,277,0.96028880866426,0.96028880866426,0.0397111913357401,"reintroduction1",20,1856,1856,3712,0.00592672413793103,0.8,0.2
"6",19,"POP",2,141,15,16,5,157,0.898089171974522,0.898089171974522,0.101910828025478,"reintroduction2",20,1615,1615,3230,0.00990712074303406,0.75,0.25
"7",11,"GPG",2,332,16,64,7,396,0.838383838383838,0.838383838383838,0.161616161616162,"pre",20,2875,2875,5750,0.0222608695652174,0.8,0.35
"8",11,"POP",3,325,18,21,10,346,0.939306358381503,0.939306358381503,0.0606936416184971,"pre",20,2875,2875,5750,0.00730434782608696,0.9,0.5
"9",14,"OPP",2,277,15,64,9,341,0.812316715542522,0.812316715542522,0.187683284457478,"reintroduction1",20,2928,2928,5856,0.0218579234972678,0.75,0.45
"10",14,"GGO",3,79,16,40,6,119,0.663865546218487,0.663865546218487,0.336134453781513,"reintroduction1",20,2928,2928,5856,0.0136612021857923,0.8,0.3
"11",10,"GPG",2,189,16,34,5,223,0.847533632286996,0.847533632286996,0.152466367713004,"pre",20,1983,1983,3966,0.0171457387796268,0.8,0.25
"12",18,"POP",1,165,15,17,8,182,0.906593406593407,0.906593406593407,0.0934065934065934,"reintroduction2",20,1709,1709,3418,0.00994733762434172,0.75,0.4
"13",11,"GGO",4,108,14,62,9,170,0.635294117647059,0.635294117647059,0.364705882352941,"pre",20,2875,2875,5750,0.0215652173913043,0.7,0.45
"14",15,"OPP",2,242,15,44,6,286,0.846153846153846,0.846153846153846,0.153846153846154,"reintroduction1",20,1856,1856,3712,0.0237068965517241,0.75,0.3
"15",18,"OPP",2,254,17,18,7,272,0.933823529411765,0.933823529411765,0.0661764705882353,"reintroduction2",20,1709,1709,3418,0.0105324751316559,0.85,0.35
"16",15,"GGO",3,77,14,19,5,96,0.802083333333333,0.802083333333333,0.197916666666667,"reintroduction1",20,1856,1856,3712,0.0102370689655172,0.7,0.25
"17",18,"GOO",3,71,10,44,7,115,0.617391304347826,0.617391304347826,0.382608695652174,"reintroduction2",20,1709,1709,3418,0.0257460503218256,0.5,0.35
"18",22,"GGO",1,77,14,64,4,141,0.546099290780142,0.546099290780142,0.453900709219858,"reintroduction3",20,2281,2281,4562,0.0280578693555458,0.7,0.2
"19",15,"GOO",4,91,12,51,11,142,0.640845070422535,0.640845070422535,0.359154929577465,"reintroduction1",20,1856,1856,3712,0.0274784482758621,0.6,0.55
"20",15,"OGO",5,87,13,39,10,126,0.69047619047619,0.69047619047619,0.30952380952381,"reintroduction1",20,1856,1856,3712,0.0210129310344828,0.65,0.5
"21",14,"PBO",4,58,10,54,12,112,0.517857142857143,0.517857142857143,0.482142857142857,"reintroduction1",20,2928,2928,5856,0.0184426229508197,0.5,0.6
"22",19,"GOP",3,18,8,50,10,68,0.264705882352941,0.264705882352941,0.735294117647059,"reintroduction2",20,1615,1615,3230,0.0309597523219814,0.4,0.5
"23",22,"PBO",2,69,11,72,11,141,0.48936170212766,0.48936170212766,0.51063829787234,"reintroduction3",20,2281,2281,4562,0.031565103024989,0.55,0.55
"24",15,"POP",6,190,14,70,7,260,0.730769230769231,0.730769230769231,0.269230769230769,"reintroduction1",20,1856,1856,3712,0.0377155172413793,0.7,0.35
"25",14,"PPB",5,171,13,103,15,274,0.624087591240876,0.624087591240876,0.375912408759124,"reintroduction1",20,2928,2928,5856,0.0351775956284153,0.65,0.75
"26",22,"GOO",3,182,13,75,11,257,0.708171206225681,0.708171206225681,0.291828793774319,"reintroduction3",20,2281,2281,4562,0.0328803156510303,0.65,0.55
"27",19,"PBO",4,60,8,52,9,112,0.535714285714286,0.535714285714286,0.464285714285714,"reintroduction2",20,1615,1615,3230,0.0321981424148607,0.4,0.45
"28",14,"POP",6,211,16,100,12,311,0.678456591639871,0.678456591639871,0.321543408360129,"reintroduction1",20,2928,2928,5856,0.0341530054644809,0.8,0.6
"29",10,"GGO",3,64,15,47,7,111,0.576576576576577,0.576576576576577,0.423423423423423,"pre",20,1983,1983,3966,0.0237014624306606,0.75,0.35
"30",14,"PBB",7,192,17,81,12,273,0.703296703296703,0.703296703296703,0.296703296703297,"reintroduction1",20,2928,2928,5856,0.0276639344262295,0.85,0.6
"31",23,"GGO",1,37,13,27,5,64,0.578125,0.578125,0.421875,"reintroduction3",20,1241,1241,2482,0.0217566478646253,0.65,0.25
"32",11,"OPP",5,128,14,177,10,305,0.419672131147541,0.419672131147541,0.580327868852459,"pre",20,2875,2875,5750,0.0615652173913043,0.7,0.5
"33",18,"PPO",4,9,3,51,13,60,0.15,0.15,0.85,"reintroduction2",20,1709,1709,3418,0.0298420128730252,0.15,0.65
"34",11,"OGO",6,149,15,97,12,246,0.605691056910569,0.605691056910569,0.394308943089431,"pre",20,2875,2875,5750,0.0337391304347826,0.75,0.6
"35",11,"PBB",7,134,12,106,12,240,0.558333333333333,0.558333333333333,0.441666666666667,"pre",20,2875,2875,5750,0.0368695652173913,0.6,0.6
"36",15,"PBB",7,33,11,42,8,75,0.44,0.44,0.56,"reintroduction1",20,1856,1856,3712,0.0226293103448276,0.55,0.4
"37",18,"PBO",5,54,8,50,8,104,0.519230769230769,0.519230769230769,0.480769230769231,"reintroduction2",20,1709,1709,3418,0.0292568753657109,0.4,0.4
"38",11,"GOO",8,186,13,108,13,294,0.63265306122449,0.63265306122449,0.36734693877551,"pre",20,2875,2875,5750,0.0375652173913043,0.65,0.65
