trial,bin,rank_assessment,perturbation,focal_ID,type,obs_days,hours_observed,person_hours,birds,agonistic_events,interacting_dyads,density,rule_breakers,rule_followers,linearity,steepness,transi.pt,tri,dominance_pattern,random fight decisions (%),comment,agg.without.focal,dyads.without.focal,pattern.without.focal,fights.without.focal,densitu.without.focal
0,10,0,pre,,unstable,3,21.55,75.95,20,1983,236,0.62,37.71,62.29,0.5609,0.536168133,0.864,0.455,downward heuristic,48,,,,,,
0,11,1,pre,,stable,3,22.85,117.02,20,2875,256,0.67,34.77,65.23,0.6459,0.626026193,0.899,0.597,downward heuristic,29,,,,,,
1,12,2,removal,BBB,unstable,3,21.82,81.93,19,1988,227,0.65,37.95,62.05,0.5518,0.569524798,0.871,0.485,downward heuristic,31,first random fights plot,,,,,
1,13,3,removal,BBB,stable,3,22.58,83.72,19,1721,226,0.66,38.67,61.33,0.4693,0.502649006,0.841,0.366,downward heuristic,46,second random fights plot,,,,,
1,14,4,reintroduction,BBB,unstable,3,26.7,87.32,20,2928,263,0.69,36.88,63.12,0.5353,0.574996992,0.871,0.483,bullying,42,,2104,233,downward heuristic,29,
1,15,5,reintroduction,BBB,stable,3,21.38,80.55,20,1856,235,0.62,40,60,0.4519,0.478634565,0.84,0.36,bullying,40,,1350,205,downward heuristic,39,
2,16,6,removal,GPG,unstable,3,20.95,79.47,19,2218,213,0.62,41.78,58.22,0.3939,0.461994691,0.827,0.31,bullying,28,,,,,,
2,17,7,removal,GPG,stable,3,19.68,72.97,19,1887,220,0.64,44.09,55.91,0.3754,0.420391648,0.8,0.2,downward heuristic,48,,,,,,
2,18,8,reintroduction,GPG,unstable,3,18.37,66.98,20,1709,218,0.57,51.38,48.62,0.3459,0.385602176,0.802,0.207,bullying,68,,1391,189,bullying,49,
2,19,9,reintroduction,GPG,stable,3.5,20.97,77.45,20,1615,224,0.59,47.32,52.68,0.403,0.400321405,0.842,0.37,downward heuristic,36,,1346,197,downward heuristic,32,
3,20,10,removal,OPP,unstable,3,17.82,66.57,19,897,178,0.52,39.89,60.11,0.2895,0.333519198,0.768,0.074,downward heuristic,47,,,,,,
3,21,11,removal,OPP,stable,3,21.38,80.53,19,2131,224,0.65,41.52,58.48,0.3711,0.437336402,0.805,0.219,downward heuristic,55,,,,,,
3,22,12,reintroduction,OPP,unstable,3,20.98,86.43,20,2281,236,0.62,40.68,59.32,0.4609,0.491215753,0.839,0.358,bullying,70,,1793,211,downward heuristic,62,
3,23,13,reintroduction,OPP,stable,2,14.43,53.62,20,1241,204,0.54,36.28,63.73,0.5015,0.44392542,0.849,0.395,bullying,52,,1028,185,downward heuristic,56,
