"","bin","n.agg","n.dyads","n.actors","n.subjects","date","type","n_birds","hours_obs","person_hours","ag_bird","ag_bird_obs","ag_person_obs","mean","sd","n","se","focus","position","dominance_pattern"
"1",1,1855,304,22,22,"2021-04-06","initial group formation",22,21.95,86.3666666666667,84.3181818181818,3.84137502588528,0.976281533981264,4.01723521934907,0.925383501990352,10,0.292631957543247,0.45,0.28,"downward heuristic"
"2",2,1063,286,22,22,"2021-04-11","preperturbation",22,18.6166666666667,67.0500000000001,48.3181818181818,2.59542606006348,0.720629109890854,4.01723521934907,0.925383501990352,10,0.292631957543247,0.3,0.26,"downward heuristic"
"3",3,1572,292,22,22,"2021-04-14","preperturbation",22,21.75,84.1666666666667,71.4545454545455,3.28526645768025,0.848964896489649,4.01723521934907,0.925383501990352,10,0.292631957543247,0.35,0.29,"downward heuristic"
"4",4,1329,245,22,20,"2021-04-17","preperturbation",22,17.7333333333333,64.3166666666667,60.4090909090909,3.40652768284347,0.939244740747721,4.01723521934907,0.925383501990352,10,0.292631957543247,0.31,0.27,"downward heuristic"
"5",5,1560,262,22,21,"2021-04-20","preperturbation",22,23.8,89.6666666666666,70.9090909090909,2.97937356760886,0.790807705305847,4.01723521934907,0.925383501990352,10,0.292631957543247,0.46,0.31,"downward heuristic"
"6",6,2439,316,22,21,"2021-04-24","preperturbation",22,23.7666666666667,91.25,110.863636363636,4.6646691317098,1.21494396014944,4.01723521934907,0.925383501990352,10,0.292631957543247,0.35,0.28,"downward heuristic"
"7",7,2417,265,20,20,"2021-04-28","duo",20,25.0333333333334,95.2666666666668,120.85,4.82756324900133,1.268544436669,4.01723521934907,0.925383501990352,10,0.292631957543247,0.43,0.26,"downward heuristic"
"8",8,2437,266,20,20,"2021-05-04","switch",20,22.4833333333333,79.2166666666667,121.85,5.41957005189029,1.53818640858405,4.01723521934907,0.925383501990352,10,0.292631957543247,0.33,0.26,"downward heuristic"
"9",9,2203,262,20,20,"2021-05-07","switch",20,24.2,93.1499999999999,110.15,4.55165289256199,1.18250134192163,4.01723521934907,0.925383501990352,10,0.292631957543247,0.4,0.27,"downward heuristic"
"10",10,1983,236,20,19,"2021-05-10","switch",20,21.55,82.3500000000001,99.15,4.60092807424593,1.2040072859745,4.01723521934907,0.925383501990352,10,0.292631957543247,0.21,0.24,"downward heuristic"
