"","bin","n.agg","n.dyads","actors","receivers","date","type","n_birds","hours_obs","person_hours","ag_bird","ag_obs","ag_person_obs","mean","sd","n","se"
"1",11,1977,242,20,19,"2021-05-18","switch",20,22.85,86.7333333333332,98.85,4.32603938730854,1.13970023059185,4.5914355764602,0.821623752577776,12,0.237182347361685
"2",12,2111,227,19,19,"2021-05-22","removal1",19,21.8166666666666,81.9333333333332,111.105263157895,5.09267821961321,1.35604470900604,4.5914355764602,0.821623752577776,12,0.237182347361685
"3",13,1738,226,19,19,"2021-05-27","removal1",19,22.5833333333333,83.7166666666666,91.4736842105263,4.05049524179452,1.09265798380083,4.5914355764602,0.821623752577776,12,0.237182347361685
"4",14,2928,263,20,20,"2021-05-30","reintroduction1",20,26.6999999999999,87.3166666666664,146.4,5.48314606741574,1.67665585035313,4.5914355764602,0.821623752577776,12,0.237182347361685
"5",15,1856,235,20,20,"2021-06-04","reintroduction1",20,21.3833333333333,80.5499999999998,92.8,4.33982852689011,1.15207945375543,4.5914355764602,0.821623752577776,12,0.237182347361685
"6",16,2218,213,19,19,"2021-06-08","removal2",19,20.95,79.4666666666667,116.736842105263,5.57216430096721,1.46900388555281,4.5914355764602,0.821623752577776,12,0.237182347361685
"7",17,1887,220,19,19,"2021-06-13","removal2",19,19.6833333333334,72.9666666666668,99.3157894736842,5.0456793974776,1.36111177899064,4.5914355764602,0.821623752577776,12,0.237182347361685
"8",18,1713,218,20,20,"2021-06-16","reintroduction2",20,18.3666666666666,66.9833333333332,85.65,4.66333938294012,1.27867628763374,4.5914355764602,0.821623752577776,12,0.237182347361685
"9",19,1615,224,20,20,"2021-06-22","reintroduction2",20,20.9666666666667,77.4500000000001,80.75,3.85135135135135,1.04260813428018,4.5914355764602,0.821623752577776,12,0.237182347361685
"10",20,897,178,19,19,"2021-06-26","removal3",19,17.8166666666667,66.5666666666667,47.2105263157895,2.64979567721924,0.709221727327834,4.5914355764602,0.821623752577776,12,0.237182347361685
"11",21,2131,224,19,19,"2021-07-01","removal3",19,21.3833333333334,80.5333333333336,112.157894736842,5.24510809369486,1.39268909027535,4.5914355764602,0.821623752577776,12,0.237182347361685
"12",22,2005,229,20,20,"2021-07-04","reintroduction3",20,20.9833333333333,76.1166666666665,100.25,4.77760127084989,1.31705714911321,4.5914355764602,0.821623752577776,12,0.237182347361685
